source_id,name,home
"v2ex-share","V2EX","https://v2ex.com/"
"mktnews-flash","MKTNews","https://mktnews.net"
"wallstreetcn-quick","华尔街见闻","https://wallstreetcn.com/"
"wallstreetcn-news","华尔街见闻","https://wallstreetcn.com/"
"wallstreetcn-hot","华尔街见闻","https://wallstreetcn.com/"
"36kr","36氪","https://36kr.com"
"36kr-quick","36氪","https://36kr.com"
"36kr-renqi","36氪","https://36kr.com"
"pcbeta-windows11","远景论坛","https://bbs.pcbeta.com"
"cls-telegraph","财联社","https://www.cls.cn"
"cls-depth","财联社","https://www.cls.cn"
"cls-hot","财联社","https://www.cls.cn"
"xueqiu-hotstock","雪球","https://xueqiu.com"
"fastbull-express","法布财经","https://www.fastbull.cn"
"fastbull-news","法布财经","https://www.fastbull.cn"
"github-trending-today","Github","https://github.com/"
"bilibili-hot-search","哔哩哔哩","https://www.bilibili.com"
"chongbuluo-latest","虫部落","https://www.chongbuluo.com/forum.php?mod=guide&view=newthread"
"chongbuluo-hot","虫部落","https://www.chongbuluo.com/forum.php?mod=guide&view=hot"
"tencent-hot","腾讯新闻","https://news.qq.com/tag/aEWqxLtdgmQ="
"qqvideo-tv-hotsearch","腾讯视频","https://v.qq.com/channel/tv"
"iqiyi-hot-ranklist","爱奇艺","https://www.iqiyi.com"
